title,canonical_url,original_url,source,category,author,published_date,date_confidence,summary,score,score_breakdown,topic_cluster,content_type,reading_mode,selected_true_false,exclusion_reason_if_any
Using DSPy to evaluate and improve Datasette Agent's SQL system prompts,https://simonwillison.net/2026/Jul/2/dspy-datasette-agent-prompts,https://simonwillison.net/2026/Jul/2/dspy-datasette-agent-prompts/#atom-everything,Simon Willison,Tech & Engineering,,2026-07-02,high,"Research: Using DSPy to evaluate and improve Datasette Agent&#x27;s SQL system prompts One of this morning's AIE keynotes covered dspy, which reminded me I've been meaning to see if it could help me improve the system prompt used by Datasette Agent - so I fired off an asynchronous research task in Claude Code for web using Claude Fable 5: Pip install the latest Datasette alpha and datasette-agent and dspy - then figure out how to use dspy to evaluate and improve the main system prompts used by D",124.6,"{""brevity"": 0, ""category"": 21, ""date_confidence"": 0, ""depth"": 8, ""freshness"": 15, ""keyword"": 30.6, ""release_note"": 0, ""source"": 25.0, ""source_weight"": 25.0}",AI / Agents / LLMs,Technical essay,Read deeply,True,
Hackers Stole Instagram Accounts Simply by Asking Meta AI to Give Them Access,https://www.404media.co/hackers-simply-asked-meta-ai-to-give-them-access-to-high-profile-instagram-accounts-it-worked,https://www.404media.co/hackers-simply-asked-meta-ai-to-give-them-access-to-high-profile-instagram-accounts-it-worked/,Daring Fireball,Strategy & Craft,John Gruber,2026-07-02,high,"Jason Koebler, a month ago at 404 Media: Over the last several days, Telegram groups for security researchers and hacking groups have been sharing videos and screenshots of the steps taken to steal an account, which appeared to be shockingly easy. One video shows a hacker starting a conversation with Meta’s AI support bot and asking it to link the target account with a new email address: “Just link my new email address. This is my username @{targetusername}. I will send you the code. {attackerem",120.0,"{""brevity"": 0, ""category"": 18, ""date_confidence"": 0, ""depth"": 8, ""freshness"": 15, ""keyword"": 45, ""release_note"": 0, ""source"": 17.0, ""source_weight"": 17.0}",Security / Privacy,Strategy analysis,Read deeply,True,
Understand to participate,https://simonwillison.net/2026/Jul/2/understand-to-participate,https://simonwillison.net/2026/Jul/2/understand-to-participate/#atom-everything,Simon Willison,Tech & Engineering,,2026-07-02,high,"I saw Geoffrey Litt speak at AIE yesterday, and one framing he used particularly resonated with me: Understand to participate Geoffrey was talking about the challenge of collaborating with coding agents as they construct increasingly large and sophisticated changes, and the need to avoid taking on cognitive debt as your understanding drifts from how the code actually works. His argument is that you need to understand the code to a depth that enables you to participate further with the model: You",116.6,"{""brevity"": 0, ""category"": 21, ""date_confidence"": 0, ""depth"": 0, ""freshness"": 15, ""keyword"": 30.6, ""release_note"": 0, ""source"": 25.0, ""source_weight"": 25.0}",AI / Agents / LLMs,Technical essay,Read deeply,True,
llm-coding-agent 0.1a0,https://simonwillison.net/2026/Jul/2/llm-coding-agent,https://simonwillison.net/2026/Jul/2/llm-coding-agent/#atom-everything,Simon Willison,Tech & Engineering,,2026-07-02,high,"Release: llm-coding-agent 0.1a0 Another Fable 5 experiment. Now that my LLM library has evolved into more of an agent framework it's time to see what a simple coding agent would look like built on it. I started a new Python library using my python-lib-template-repository GitHub template repository, then ran these two prompts (here's the Claude Code for web transcript): Write a spec.md for this project - it will depend on the latest “llm” alpha from PyPI and implement a Claude code style coding a",116.0,"{""brevity"": 0, ""category"": 21, ""date_confidence"": 0, ""depth"": 0, ""freshness"": 15, ""keyword"": 45, ""release_note"": -15, ""source"": 25.0, ""source_weight"": 25.0}",AI / Agents / LLMs,Engineering note,Skim,False,source daily cap
"FBI Seizes NetNut Proxy Platform, Popa Botnet",https://krebsonsecurity.com/2026/07/fbi-seizes-netnut-proxy-platform-popa-botnet,https://krebsonsecurity.com/2026/07/fbi-seizes-netnut-proxy-platform-popa-botnet/,Krebs on Security,Security & Privacy,BrianKrebs,2026-07-02,high,"The Federal Bureau of Investigation (FBI) said today it worked with industry partners to seize hundreds of domains associated with NetNut, a sprawling residential proxy service operated by the publicly-traded Israeli company Alarum Technologies [NASDAQ: ALAR]. The action comes roughly two weeks after KrebsOnSecurity published findings from multiple security firms connecting NetNut to the Popa botnet, a collection of at least two million devices that have been compromised by malicious software wi",115.5,"{""brevity"": 0, ""category"": 21, ""date_confidence"": 0, ""depth"": 0, ""freshness"": 15, ""keyword"": 33.5, ""release_note"": 0, ""source"": 23.0, ""source_weight"": 23.0}",Security / Privacy,Security alert,Read deeply,True,
Introducing the Safari MCP Server for Web Developers,https://webkit.org/blog/18136/introducing-the-safari-mcp-server-for-web-developers,https://webkit.org/blog/18136/introducing-the-safari-mcp-server-for-web-developers/,Daring Fireball,Strategy & Craft,John Gruber,2026-07-02,high,"Saron Yitbarek, writing on the WebKit blog, with a nice post-WWDC surprise: In Safari Technology Preview 247, we’re introducing the Safari MCP server — a Model Context Protocol server for web developers that makes your web development and debugging workflow faster and more powerful. We know agents are increasingly integral to the coding process and the Safari MCP server gives your agent the ability to know how your code actually renders in the browser by connecting it to a Safari browser window.",112.0,"{""brevity"": 0, ""category"": 18, ""date_confidence"": 0, ""depth"": 0, ""freshness"": 15, ""keyword"": 45, ""release_note"": 0, ""source"": 17.0, ""source_weight"": 17.0}",AI / Agents / LLMs,Strategy analysis,Read deeply,True,
I Repeat Myself (5G vs. LTE Edition),https://daringfireball.net/linked/2022/03/23/5g-battery-life,https://daringfireball.net/linked/2022/03/23/5g-battery-life,Daring Fireball,Strategy & Craft,John Gruber,2026-07-02,high,"Back in March 2022, Nicole Nguyen of The Wall Street Journal compared the battery life effects of 5G vs. LTE by streaming videos on several iPhone and iPad models. She found that using LTE saved significant battery life. (It would be nice if someone re-ran similar tests on more recent devices — just because it was true with the iPhone 13 Pro doesn’t mean it’s true with current models. But I’ll bet it is.) Anyway, linking to her report, I wrote: With both regular 5G and LTE, I typically get betwe",110.0,"{""brevity"": 0, ""category"": 18, ""date_confidence"": 0, ""depth"": 8, ""freshness"": 15, ""keyword"": 35.0, ""release_note"": 0, ""source"": 17.0, ""source_weight"": 17.0}",AI / Agents / LLMs,Craft essay,Read deeply,False,source daily cap
‘Why Is Meta Destroying Its Engineering Organization?’,https://newsletter.pragmaticengineer.com/p/why-is-meta-destroying-its-engineering,https://newsletter.pragmaticengineer.com/p/why-is-meta-destroying-its-engineering,Daring Fireball,Strategy & Craft,John Gruber,2026-07-02,high,"Gergely Orosz, writing at The Pragmatic Engineer (which, sadly, is a Substack blog): The biggest problem: people stop caring about real work and focus on performative work. Let’s check the four ingredients that Meta’s leadership has decided to introduce to their workplace: Tracking the keyboards and mouse clicks of all engineers, where legally possible Reassign a good chunk of engineers to full-time data labeling Let staff know that 10% of them will be laid off Have a culture where devs optimize",110.0,"{""brevity"": 0, ""category"": 18, ""date_confidence"": 0, ""depth"": 0, ""freshness"": 15, ""keyword"": 42.99999999999999, ""release_note"": 0, ""source"": 17.0, ""source_weight"": 17.0}",Future of Work,Strategy analysis,Read deeply,False,source daily cap
‘A Perfect Reflection of Trump’s Washington’,https://politicalwire.com/2026/06/19/a-perfect-reflection-of-trumps-washington,https://politicalwire.com/2026/06/19/a-perfect-reflection-of-trumps-washington/,Daring Fireball,Strategy & Craft,John Gruber,2026-07-02,high,"Taegan Goddard, two weeks ago at Political Wire: The Lincoln Memorial Reflecting Pool has become an almost too-perfect metaphor for Donald Trump’s presidency. He promised a quick, cheap fix. Instead, taxpayers got a no-bid project that ballooned to more than $14 million, delivered a freshly painted pool in “American Flag Blue,” and then promptly watched it turn green with algae as the new coating began to peel just days after it was supposedly finished. That is Trumpism in miniature: a grand dec",102.0,"{""brevity"": 0, ""category"": 18, ""date_confidence"": 0, ""depth"": 0, ""freshness"": 15, ""keyword"": 35.0, ""release_note"": 0, ""source"": 17.0, ""source_weight"": 17.0}",AI / Agents / LLMs,Craft essay,Read deeply,False,source daily cap
Claude Fable and Kayfabe,https://www.anthropic.com/news/redeploying-fable-5,https://www.anthropic.com/news/redeploying-fable-5,Daring Fireball,Strategy & Craft,John Gruber,2026-07-02,high,"Anthropic: On Friday, June 12, the US government applied export controls to our newest models, Claude Fable 5 and Claude Mythos 5. This required us to restrict access to foreign nationals, whether inside or outside the United States. Because the order took effect immediately and we had no reliable way to verify nationality in real-time, we suspended access to both models for all users. As of today, June 30, the export controls on Fable 5 and Mythos 5 have been lifted. That’s a link to this tweet",102.0,"{""brevity"": 0, ""category"": 18, ""date_confidence"": 0, ""depth"": 0, ""freshness"": 15, ""keyword"": 35.0, ""release_note"": 0, ""source"": 17.0, ""source_weight"": 17.0}",AI / Agents / LLMs,Craft essay,Read deeply,False,source daily cap
