title,canonical_url,original_url,source,category,track,author,published_date,date_confidence,summary,score,score_breakdown,topic_cluster,content_type,reading_mode,selected_true_false,exclusion_reason_if_any
OCP Global Summit 2026: Innovation Village & Future Technologies Symposium (FTS) Demo Lineup,https://www.opencompute.org/blog/ocp-global-summit-2026-innovation-village-and-future-technologies-symposium-fts-demo-lineup,https://www.opencompute.org/blog/ocp-global-summit-2026-innovation-village-and-future-technologies-symposium-fts-demo-lineup,Open Compute Project,AI Infrastructure,ai-infra,,2026-09-24,high,"&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; See emerging infrastructure technologies in action at the 2026 OCP Global Summit&rsquo;s Innovation Village, featuring demonstrations from the Future Technologies Symposium (FTS) and across the OCP Community. Explore the lineup below, organized by technical zo (...)",139.0,"{""brevity"": 0, ""category"": 23, ""date_confidence"": 0, ""depth"": 8, ""freshness"": 15, ""keyword"": 45, ""release_note"": 0, ""source"": 24.0, ""source_weight"": 24.0}",Software Engineering,Strategy analysis,Read deeply,True,
"Engineering the Substation Exit for Reliability, Capacity, and Expansion",https://content.knowledgehub.wiley.com/aerial-cable-systems-for-substation-exit-construction,https://content.knowledgehub.wiley.com/aerial-cable-systems-for-substation-exit-construction/,IEEE Spectrum Energy,AI Infrastructure,ai-infra,Marmon Utility (Hendrix®),2026-09-24,high,"This white paper gives distribution engineers and utility teams a practical overview of the substation exit, the short and high-consequence section where station capacity divides into individual feeders. It explains how covered, spacer-supported overhead construction can reduce common contact-driven faults while leaving room for future circuits.What you will learn about:Why a fault near the substation exposes more customers than one farther along the feeder, and why the first spans out of the st",135.0,"{""brevity"": 0, ""category"": 23, ""date_confidence"": 0, ""depth"": 8, ""freshness"": 15, ""keyword"": 45, ""release_note"": 0, ""source"": 22.0, ""source_weight"": 22.0}",Software Engineering,Strategy analysis,Read deeply,True,
Oracle issues force majeure notice to Blue Owl following series of setbacks at Project Jupiter data center campus – report,https://www.datacenterdynamics.com/en/news/oracle-issues-force-majeure-notice-to-blue-owl-following-series-of-setbacks-at-project-jupiter-data-center-campus-report,https://www.datacenterdynamics.com/en/news/oracle-issues-force-majeure-notice-to-blue-owl-following-series-of-setbacks-at-project-jupiter-data-center-campus-report/,DataCenter Dynamics,AI Infrastructure,ai-infra,,2026-09-24,high,The 2.5GW site in New Mexico is set to come online in 2028,133.1,"{""brevity"": 0, ""category"": 23, ""date_confidence"": 0, ""depth"": 8, ""freshness"": 15, ""keyword"": 37.099999999999994, ""release_note"": 0, ""source"": 25.0, ""source_weight"": 25.0}",Software Engineering,Engineering note,Read deeply,True,
Boldyn Networks picked to deploy private network at Ontario International Airport in California,https://www.datacenterdynamics.com/en/news/boldyn-networks-picked-to-deploy-private-network-at-ontario-international-airport-in-california,https://www.datacenterdynamics.com/en/news/boldyn-networks-picked-to-deploy-private-network-at-ontario-international-airport-in-california/,DataCenter Dynamics,AI Infrastructure,ai-infra,,2026-09-24,high,The private network will support security operations at the airport,133.0,"{""brevity"": 0, ""category"": 23, ""date_confidence"": 0, ""depth"": 0, ""freshness"": 15, ""keyword"": 45, ""release_note"": 0, ""source"": 25.0, ""source_weight"": 25.0}",Security / Privacy,Engineering note,Read deeply,True,
Startup Tests Offshore Geothermal Power,https://spectrum.ieee.org/offshore-geothermal-energy,https://spectrum.ieee.org/offshore-geothermal-energy,IEEE Spectrum Energy,AI Infrastructure,ai-infra,Julia Tilton,2026-09-24,high,"Geothermal startup Endurance Energy began drilling a well last week into the seafloor in an attempt to harness energy from an underwater volcano. The well, located 1,500 meters below the surface of the Pacific Ocean off the Oregon coast, will give the company access to hot fluid from Earth’s crust, which will spin the turbine of an underwater power generator.The project takes an elaborate approach to tapping geothermal energy that’s far more accessible elsewhere. Nearly every other geothermal co",127.0,"{""brevity"": 0, ""category"": 23, ""date_confidence"": 0, ""depth"": 0, ""freshness"": 15, ""keyword"": 45, ""release_note"": 0, ""source"": 22.0, ""source_weight"": 22.0}",Software Engineering,Engineering note,Read deeply,True,
Can we power it? Yes we GaN,https://www.datacenterdynamics.com/en/analysis/can-we-power-it-yes-we-gan,https://www.datacenterdynamics.com/en/analysis/can-we-power-it-yes-we-gan/,DataCenter Dynamics,AI Infrastructure,ai-infra,,2026-09-24,high,Is the data center industry finally catching up to the promise of gallium nitride?,125.1,"{""brevity"": 0, ""category"": 23, ""date_confidence"": 0, ""depth"": 0, ""freshness"": 15, ""keyword"": 37.099999999999994, ""release_note"": 0, ""source"": 25.0, ""source_weight"": 25.0}",Software Engineering,Engineering note,Read deeply,False,source daily cap
Southern Water deploys Lightsonic water-leak technology using Openreach's fiber infrastructure,https://www.datacenterdynamics.com/en/news/southern-water-deploys-lightsonic-water-leak-technology-using-openreachs-fiber-infrastructure,https://www.datacenterdynamics.com/en/news/southern-water-deploys-lightsonic-water-leak-technology-using-openreachs-fiber-infrastructure/,DataCenter Dynamics,AI Infrastructure,ai-infra,,2026-09-24,high,As the water company seeks to monitor leaks,125.1,"{""brevity"": 0, ""category"": 23, ""date_confidence"": 0, ""depth"": 0, ""freshness"": 15, ""keyword"": 37.099999999999994, ""release_note"": 0, ""source"": 25.0, ""source_weight"": 25.0}",Software Engineering,Engineering note,Read deeply,False,source daily cap
Sponsored: Powering the AI data center era: Why UPS battery technology needs to evolve,https://www.datacenterdynamics.com/en/opinions/powering-the-ai-data-center-era-why-ups-battery-technology-needs-to-evolve,https://www.datacenterdynamics.com/en/opinions/powering-the-ai-data-center-era-why-ups-battery-technology-needs-to-evolve/,DataCenter Dynamics,AI Infrastructure,ai-infra,,2026-09-24,high,The rise of AI infrastructure is forcing data centers to rethink backup power strategies,125.1,"{""brevity"": 0, ""category"": 23, ""date_confidence"": 0, ""depth"": 0, ""freshness"": 15, ""keyword"": 37.099999999999994, ""release_note"": 0, ""source"": 25.0, ""source_weight"": 25.0}",Software Engineering,Strategy analysis,Read deeply,False,source daily cap
Tower Semiconductor to establish large-scale optical chip hub as part of $4bn Japanese investment pledge,https://www.datacenterdynamics.com/en/news/tower-semiconductor-to-establish-large-scale-optical-chip-hub-as-part-of-4bn-japanese-investment-pledge,https://www.datacenterdynamics.com/en/news/tower-semiconductor-to-establish-large-scale-optical-chip-hub-as-part-of-4bn-japanese-investment-pledge/,DataCenter Dynamics,AI Infrastructure,ai-infra,,2026-09-24,high,CEO provides further details regarding expansion plans announced earlier this year,125.1,"{""brevity"": 0, ""category"": 23, ""date_confidence"": 0, ""depth"": 0, ""freshness"": 15, ""keyword"": 37.099999999999994, ""release_note"": 0, ""source"": 25.0, ""source_weight"": 25.0}",Software Engineering,Engineering note,Read deeply,False,source daily cap
QuEra partners with HPE to integrate quantum computer within Cray-powered HPC environments,https://www.datacenterdynamics.com/en/news/quera-partners-with-hpe-to-integrate-quantum-computer-within-cray-powered-hpc-environments,https://www.datacenterdynamics.com/en/news/quera-partners-with-hpe-to-integrate-quantum-computer-within-cray-powered-hpc-environments/,DataCenter Dynamics,AI Infrastructure,ai-infra,,2026-09-24,high,Quantum firm now offering access to systems via both on-premises deployments and the cloud,125.1,"{""brevity"": 0, ""category"": 23, ""date_confidence"": 0, ""depth"": 0, ""freshness"": 15, ""keyword"": 37.099999999999994, ""release_note"": 0, ""source"": 25.0, ""source_weight"": 25.0}",Software Engineering,Engineering note,Read deeply,False,source daily cap
