title,canonical_url,original_url,source,category,author,published_date,date_confidence,summary,score,score_breakdown,topic_cluster,content_type,reading_mode,selected_true_false,exclusion_reason_if_any
Our evaluation of OpenAI's GPT-5.5 cyber capabilities,https://simonwillison.net/2026/Apr/30/gpt-55-cyber-capabilities,https://simonwillison.net/2026/Apr/30/gpt-55-cyber-capabilities/#atom-everything,Simon Willison,Tech & Engineering,,2026-04-30,high,"Our evaluation of OpenAI&#x27;s GPT-5.5 cyber capabilities The UK's AI Security Institute previously evaluated Claude Mythos: now they've evaluated GPT-5.5 for finding security vulnerability and found it to be comparable to Mythos, but unlike Mythos it's generally available right now. Tags: ai, openai, generative-ai, llms, anthropic, claude, ai-security-research, gpt",139.0,"{""brevity"": 0, ""category"": 21, ""date_confidence"": 0, ""depth"": 8, ""freshness"": 15, ""keyword"": 45, ""release_note"": 0, ""source"": 25.0, ""source_weight"": 25.0}",Security / Privacy,Engineering note,Read deeply,True,
Audit Yourself to Get More From GenAI,https://sloanreview.mit.edu/article/audit-yourself-to-get-more-from-genai,https://sloanreview.mit.edu/article/audit-yourself-to-get-more-from-genai/,MIT Sloan Review,Strategy & Craft,"Vipin Gupta. Vipin Gupta advises Fortune 500 companies, coaches senior executives, and serves on both corporate and nonprofit boards. He previously served as chief innovation and digital officer at Toyota Financial Services International, executive vice president and CIO at KeyBank, and partner at EY/Capgemini.",2026-04-30,high,"Carolyn Geason-Beissel/MIT SMR &#124; Getty Images More than a year into using generative AI daily, I wondered whether I was getting the most out of my AI use. There was no benchmark or feedback loop, and no one was grading my sessions with ChatGPT and Claude — until I created a self-audit. I did what [&#8230;]",124.0,"{""brevity"": 0, ""category"": 18, ""date_confidence"": 0, ""depth"": 0, ""freshness"": 15, ""keyword"": 45, ""release_note"": 0, ""source"": 23.0, ""source_weight"": 23.0}",AI / Agents / LLMs,Craft essay,Read deeply,True,
The Zig project's rationale for their firm anti-AI contribution policy,https://simonwillison.net/2026/Apr/30/zig-anti-ai,https://simonwillison.net/2026/Apr/30/zig-anti-ai/#atom-everything,Simon Willison,Tech & Engineering,,2026-04-30,high,"Zig has one of the most stringent anti-LLM policies of any major open source project: No LLMs for issues. No LLMs for pull requests. No LLMs for comments on the bug tracker, including translation. English is encouraged, but not required. You are welcome to post in your native language and rely on others to have their own translation tools of choice to interpret your words. The most prominent project written in Zig may be the Bun JavaScript runtime, which was acquired by Anthropic in December 202",123.05,"{""brevity"": 0, ""category"": 21, ""date_confidence"": 0, ""depth"": 0, ""freshness"": 15, ""keyword"": 37.05, ""release_note"": 0, ""source"": 25.0, ""source_weight"": 25.0}",Software Engineering,Engineering note,Read deeply,True,
Anti-DDoS Firm Heaped Attacks on Brazilian ISPs,https://krebsonsecurity.com/2026/04/anti-ddos-firm-heaped-attacks-on-brazilian-isps,https://krebsonsecurity.com/2026/04/anti-ddos-firm-heaped-attacks-on-brazilian-isps/,Krebs on Security,Security & Privacy,BrianKrebs,2026-04-30,high,"A Brazilian tech firm that specializes in protecting networks from distributed denial-of-service (DDoS) attacks has been enabling a botnet responsible for an extended campaign of massive DDoS attacks against other network operators in Brazil, KrebsOnSecurity has learned. The firm's chief executive says the malicious activity resulted from a security breach and was likely the work of a competitor trying to tarnish his company's public image.",104.0,"{""brevity"": 0, ""category"": 21, ""date_confidence"": 0, ""depth"": 0, ""freshness"": 15, ""keyword"": 22.0, ""release_note"": 0, ""source"": 23.0, ""source_weight"": 23.0}",Security / Privacy,Security alert,Read deeply,True,
Quoting Andrew Kelley,https://simonwillison.net/2026/Apr/30/andrew-kelley,https://simonwillison.net/2026/Apr/30/andrew-kelley/#atom-everything,Simon Willison,Tech & Engineering,,2026-04-30,high,"It's a common misconception that we can't tell who is using LLM and who is not. I'm sure we didn't catch 100% of LLM-assisted PRs over the past few months, but the kind of mistakes humans make are fundamentally different than LLM hallucinations, making them easy to spot. Furthermore, people who come from the world of agentic coding have a certain digital smell that is not obvious to them but is obvious to those who abstain. It's like when a smoker walks into the room, everybody who doesn't smoke",104.0,"{""brevity"": 0, ""category"": 21, ""date_confidence"": 0, ""depth"": 0, ""freshness"": 15, ""keyword"": 18.0, ""release_note"": 0, ""source"": 25.0, ""source_weight"": 25.0}",AI / Agents / LLMs,Engineering note,Read deeply,False,source daily cap
House prices and fertility,https://lemire.me/blog/2026/04/30/house-prices-and-fertility,https://lemire.me/blog/2026/04/30/house-prices-and-fertility/,Lemire.me,Tech & Engineering,Daniel Lemire,2026-04-30,high,"No, rising house prices are not the driver of sharp fertility declines. The evidence shows only modest, mixed effects that cannot explain the large drops observed in places like Canada. What the Research Actually Shows: A well-known study by Dettling and Kearney (2014) found that rising house prices have opposing effects: they slightly increase fertility &#8230; Continue reading House prices and fertility",99.1,"{""brevity"": 0, ""category"": 21, ""date_confidence"": 0, ""depth"": 8, ""freshness"": 15, ""keyword"": 17.099999999999998, ""release_note"": 0, ""source"": 19.0, ""source_weight"": 19.0}",Research / Innovation,Technical essay,Read deeply,True,
We need RSS for sharing abundant vibe-coded apps,https://simonwillison.net/2026/Apr/30/rss-vibe-coded-apps,https://simonwillison.net/2026/Apr/30/rss-vibe-coded-apps/#atom-everything,Simon Willison,Tech & Engineering,,2026-04-30,high,"We need RSS for sharing abundant vibe-coded apps Matt Webb: I would love an RSS web feed for all those various tools and apps pages, each item with an “Install” button. (But install to where?) The lesson here is that when vibe-coding accelerates app development, apps become more personal, more situated, and more frequent. Shipping a tool or a micro-app is less like launching a website and more like posting on a blog. This inspired me to have Claude add an Atom feed (and icon) to my /elsewhere/to",98.6,"{""brevity"": 0, ""category"": 21, ""date_confidence"": 0, ""depth"": 0, ""freshness"": 15, ""keyword"": 12.6, ""release_note"": 0, ""source"": 25.0, ""source_weight"": 25.0}",AI / Agents / LLMs,Engineering note,Read deeply,False,source daily cap
I’m Starting to Wonder What They’re Smoking Over There at MacRumors,https://www.macrumors.com/2026/04/29/apple-questioning-iphone-magsafe,https://www.macrumors.com/2026/04/29/apple-questioning-iphone-magsafe/,Daring Fireball,Strategy & Craft,John Gruber,2026-04-30,high,"600 words from Hartley Charlton at MacRumors expounding upon a wacko post on Weibo suggesting that Apple is debating dropping MagSafe from all iPhones (which post, translated to English, is only 70-some words). Given that last year’s 16e didn’t have MagSafe and this year’s 17e does, you don’t need a pseudonymous Chinese weatherman to know which way the MagSafe wind is blowing in Cupertino. &nbsp;★&nbsp;",89.4,"{""brevity"": 0, ""category"": 18, ""date_confidence"": 0, ""depth"": 0, ""freshness"": 15, ""keyword"": 22.4, ""release_note"": 0, ""source"": 17.0, ""source_weight"": 17.0}",Strategy / Business Models,Craft essay,Read deeply,True,
New Banksy in London,https://www.instagram.com/reel/DXwf7pis6KT,https://www.instagram.com/reel/DXwf7pis6KT/,Daring Fireball,Strategy & Craft,John Gruber,2026-04-30,high,"Brilliant statue, hilarious intro video. The greatest artist of our age. &nbsp;★&nbsp;",89.4,"{""brevity"": 0, ""category"": 18, ""date_confidence"": 0, ""depth"": 0, ""freshness"": 15, ""keyword"": 22.4, ""release_note"": 0, ""source"": 17.0, ""source_weight"": 17.0}",Strategy / Business Models,Craft essay,Read deeply,True,
Codex CLI 0.128.0 adds /goal,https://simonwillison.net/2026/Apr/30/codex-goals,https://simonwillison.net/2026/Apr/30/codex-goals/#atom-everything,Simon Willison,Tech & Engineering,,2026-04-30,high,"Codex CLI 0.128.0 adds /goal The latest version of OpenAI's Codex CLI coding agent adds their own version of the Ralph loop: you can now set a /goal and Codex will keep on looping until it evaluates that the goal has been completed... or the configured token budget has been exhausted. It looks like the feature is mainly implemented though the goals/continuation.md and goals/budget_limit.md prompts, which are automatically injected at the end of a turn. Via @fcoury Tags: ai, openai, prompt-engine",89.0,"{""brevity"": 0, ""category"": 21, ""date_confidence"": 0, ""depth"": 0, ""freshness"": 15, ""keyword"": 18.0, ""release_note"": -15, ""source"": 25.0, ""source_weight"": 25.0}",AI / Agents / LLMs,Engineering note,Skim,False,source daily cap
