title,canonical_url,original_url,publication,sections,published_date,author,summary,score,score_breakdown,topic_cluster,reading_mode,selected_true_false,exclusion_reason_if_any
Meta Deal Reversal Deepens Split Between China and Silicon Valley,https://www.nytimes.com/2026/04/29/business/china-silicon-valley-manus.html,https://www.nytimes.com/2026/04/29/business/china-silicon-valley-manus.html,NYT,Artificial Intelligence; Business; Technology,2026-04-29,Meaghan Tobin and Erin Griffith,Beijing’s insistence that Meta unwind its deal with a Chinese A.I. start-up escalates the geopolitical fight over advanced tech.,96.75,"{""cross_section"": 6, ""keyword"": 42.75, ""opinion"": 0, ""recency"": 14, ""section"": 28, ""source_differentiation"": 6}",Business / Economy / Markets,Read deeply,True,
"A.I. Spending Sets a Record, With No End in Sight",https://www.nytimes.com/2026/04/29/technology/ai-spending-tech-data-centers.html,https://www.nytimes.com/2026/04/29/technology/ai-spending-tech-data-centers.html,NYT,Artificial Intelligence; Technology,2026-04-29,Karen Weise,"Google, Amazon, Microsoft and Meta reported more than $130 billion in quarterly capital expenditures on Wednesday as they build A.I. data centers. There’s more to come.",89.7,"{""cross_section"": 3, ""keyword"": 38.7, ""opinion"": 0, ""recency"": 14, ""section"": 28, ""source_differentiation"": 6}",Technology / AI,Read deeply,True,
"United Airlines CEO, Rebuffed by American, Says He’s Skeptical of Other Deals",https://www.nytimes.com/2026/04/29/business/united-airlines-american-scott-kirby.html,https://www.nytimes.com/2026/04/29/business/united-airlines-american-scott-kirby.html,NYT,Business; Politics,2026-04-29,Niraj Chokshi,"The chief executive, Scott Kirby, said that buying a smaller airline might not be worth the effort.",89.45,"{""cross_section"": 3, ""keyword"": 44.449999999999996, ""opinion"": 0, ""recency"": 14, ""section"": 22, ""source_differentiation"": 6}",Politics / U.S.,Read deeply,True,
Musk Says He ‘Was a Fool’ to Provide OpenAI’s Early Funding,https://www.nytimes.com/2026/04/29/technology/musk-openai-trial-altman.html,https://www.nytimes.com/2026/04/29/technology/musk-openai-trial-altman.html,NYT,Artificial Intelligence; Technology,2026-04-29,Cade Metz and Mike Isaac,"In the second day of a trial pitting Mr. Musk against OpenAI, he said the company’s chief executive, Sam Altman, had misled him. But OpenAI’s lawyer said evidence showed the opposite.",86.4,"{""cross_section"": 3, ""keyword"": 35.4, ""opinion"": 0, ""recency"": 14, ""section"": 28, ""source_differentiation"": 6}",Technology / AI,Read deeply,True,
Fed Meeting Underscores Tough Task Ahead for Warsh,https://www.nytimes.com/2026/04/29/business/economy/what-to-watch-at-the-federal-reserves-april-meeting.html,https://www.nytimes.com/2026/04/29/business/economy/what-to-watch-at-the-federal-reserves-april-meeting.html,NYT,Business; Economy,2026-04-29,Colby Smith,Jerome H. Powell on Wednesday announced he would stay on as a governor at the central bank as internal divisions sharpen about the policy path forward.,78.9,"{""cross_section"": 3, ""keyword"": 32.9, ""opinion"": 0, ""recency"": 14, ""section"": 23, ""source_differentiation"": 6}",Business / Economy / Markets,Read deeply,True,
Spirit Airlines Should Die. Why Is Trump Trying to Save It?,https://www.nytimes.com/2026/04/29/opinion/spirit-airlines-trump-bailout-auto.html,https://www.nytimes.com/2026/04/29/opinion/spirit-airlines-trump-bailout-auto.html,NYT,Opinion,2026-04-29,Steven Rattner,Trump’s effort to bail out the ailing carrier makes no sense.,76.45,"{""cross_section"": 0, ""keyword"": 44.449999999999996, ""opinion"": 0, ""recency"": 14, ""section"": 12, ""source_differentiation"": 6}",Opinion / Analysis,Read deeply,True,
A.I. Helps Online Ad Businesses Boom,https://www.nytimes.com/2026/04/29/technology/ai-artificial-intelligence-ad-boom.html,https://www.nytimes.com/2026/04/29/technology/ai-artificial-intelligence-ad-boom.html,NYT,Artificial Intelligence; Technology,2026-04-29,Tripp Mickle and Eli Tan,"Google and Meta are enjoying a digital ad boom, as artificial intelligence automates marketing and drives record sales.",73.8,"{""cross_section"": 3, ""keyword"": 22.799999999999997, ""opinion"": 0, ""recency"": 14, ""section"": 28, ""source_differentiation"": 6}",Technology / AI,Read deeply,True,
Here’s the latest.,https://www.nytimes.com/live/2026/04/29/us/supreme-court-voting-rights/heres-the-latest,https://www.nytimes.com/live/2026/04/29/us/supreme-court-voting-rights/heres-the-latest,NYT,Artificial Intelligence; Politics; Technology; U.S.,2026-04-29,"Abbie VanSickle, Nicholas Corasaniti and Emily Cochrane",,72.8,"{""cross_section"": 8, ""keyword"": 16.799999999999997, ""opinion"": 0, ""recency"": 14, ""section"": 28, ""source_differentiation"": 6}",Politics / U.S.,Read deeply,True,
What Elon Musk’s Clash With Sam Altman of OpenAI Is Really About,https://www.nytimes.com/2026/04/28/technology/elon-musk-sam-altman-trial.html,https://www.nytimes.com/2026/04/28/technology/elon-musk-sam-altman-trial.html,NYT,Business; DealBook; Technology,2026-04-28,David Streitfeld,Mr. Musk’s lawsuit against Mr. Altman and OpenAI makes the case that all-encompassing greed is Silicon Valley’s defining feature.,72.7,"{""cross_section"": 6, ""keyword"": 34.699999999999996, ""opinion"": 0, ""recency"": 3, ""section"": 23, ""source_differentiation"": 6}",Business / Economy / Markets,Read deeply,True,
How the Fed’s rate decision affects your finances.,https://www.nytimes.com/live/2026/04/29/business/federal-reserve-interest-rates/how-the-feds-rate-decision-affects-your-finances,https://www.nytimes.com/live/2026/04/29/business/federal-reserve-interest-rates/how-the-feds-rate-decision-affects-your-finances,NYT,Business; Economy,2026-04-29,Tara Siegel Bernard,"The central bank’s interest rate policy influences car and home loans, credit cards, savings accounts and more.",72.6,"{""cross_section"": 3, ""keyword"": 26.599999999999998, ""opinion"": 0, ""recency"": 14, ""section"": 23, ""source_differentiation"": 6}",Business / Economy / Markets,Read deeply,True,
A.I. Is Eliminating Jobs on Wall Street,https://www.nytimes.com/2026/04/21/business/ai-job-cuts-wall-street.html,https://www.nytimes.com/2026/04/21/business/ai-job-cuts-wall-street.html,NYT,Artificial Intelligence,2026-04-28,Rob Copeland,"“A.I. gives us places to go we haven’t gone,” said one bank’s chief executive.",70.9,"{""cross_section"": 0, ""keyword"": 39.89999999999999, ""opinion"": 0, ""recency"": 3, ""section"": 28, ""source_differentiation"": 0}",Technology / AI,Read deeply,True,
Trump Administration Sues New Jersey Governor Over ICE Mask Ban,https://www.nytimes.com/2026/04/29/nyregion/new-jersey-trump-ice-mask-lawsuit.html,https://www.nytimes.com/2026/04/29/nyregion/new-jersey-trump-ice-mask-lawsuit.html,NYT,Politics,2026-04-29,Tracey Tully,"New Jersey, where Mikie Sherrill is governor, is one of only a few states to try to bar federal immigration agents from wearing masks.",70.7,"{""cross_section"": 0, ""keyword"": 28.699999999999996, ""opinion"": 0, ""recency"": 14, ""section"": 22, ""source_differentiation"": 6}",Politics / U.S.,Read deeply,True,
United Airlines Says It Pitched American on Merger but Was Rebuffed,https://www.nytimes.com/2026/04/27/business/united-airlines-american-merger.html,https://www.nytimes.com/2026/04/27/business/united-airlines-american-merger.html,NYT,Business,2026-04-27,Niraj Chokshi,"United’s chief acknowledged for the first time that he had broached the idea of a merger with American, which was unwilling to consider it.",70.45,"{""cross_section"": 0, ""keyword"": 44.449999999999996, ""opinion"": 0, ""recency"": -2, ""section"": 22, ""source_differentiation"": 6}",Business / Economy / Markets,Read deeply,True,
"Bill Ackman’s I.P.O., Pershing Square USA, Raises $5 Billion",https://www.nytimes.com/2026/04/29/business/bill-ackman-pershing-square-ipo.html,https://www.nytimes.com/2026/04/29/business/bill-ackman-pershing-square-ipo.html,NYT,Business,2026-04-29,Maureen Farrell and Lauren Hirsch,"The initial public offering of Mr. Ackman’s new fund, Pershing Square USA, raised $5 billion.",69.6,"{""cross_section"": 0, ""keyword"": 33.6, ""opinion"": 0, ""recency"": 14, ""section"": 22, ""source_differentiation"": 0}",Business / Economy / Markets,Read deeply,True,
A.I. Bots Told Scientists How to Make Biological Weapons,https://www.nytimes.com/2026/04/29/us/ai-chatbots-biological-weapons.html,https://www.nytimes.com/2026/04/29/us/ai-chatbots-biological-weapons.html,NYT,Artificial Intelligence; Technology,2026-04-29,Gabriel J.X. Dance,Scientists shared transcripts with The Times in which chatbots described how to assemble deadly pathogens and unleash them in public spaces.,69.0,"{""cross_section"": 3, ""keyword"": 24.0, ""opinion"": 0, ""recency"": 14, ""section"": 28, ""source_differentiation"": 0}",Technology / AI,Read deeply,True,
"In Backlash Against Tech in Schools, Parents Are Winning Rollbacks",https://www.nytimes.com/2026/04/29/technology/parents-school-tech-backlash.html,https://www.nytimes.com/2026/04/29/technology/parents-school-tech-backlash.html,NYT,Artificial Intelligence; Business; DealBook; Technology,2026-04-29,Natasha Singer,"From Salt Lake City to New York City, parents are demanding more sway over the digital tools that schools give children.",66.8,"{""cross_section"": 8, ""keyword"": 16.799999999999997, ""opinion"": 0, ""recency"": 14, ""section"": 28, ""source_differentiation"": 0}",Business / Economy / Markets,Read deeply,False,Business / Economy / Markets cap
A.I. Start-Ups From Canada and Germany Merge to Take On Silicon Valley,https://www.nytimes.com/2026/04/24/business/cohere-aleph-alpha-ai-merger.html,https://www.nytimes.com/2026/04/24/business/cohere-aleph-alpha-ai-merger.html,NYT,DealBook; Technology,2026-04-27,Adam Satariano,Cohere is acquiring Aleph Alpha in a deal aimed at customers uneasy about the dominance of American companies in artificial intelligence.,66.75,"{""cross_section"": 3, ""keyword"": 42.75, ""opinion"": 0, ""recency"": -2, ""section"": 23, ""source_differentiation"": 0}",Technology / AI,Read deeply,False,Technology / AI cap
Powell Says He Will Stay On as Fed Governor After Term as Chair Ends,https://www.nytimes.com/2026/04/29/business/economy/powell-fed-stay-governor.html,https://www.nytimes.com/2026/04/29/business/economy/powell-fed-stay-governor.html,NYT,Business; Economy,2026-04-29,Colby Smith,Jerome H. Powell cited lingering legal threats against him and the Federal Reserve in explaining his decision to remain at the central bank.,66.6,"{""cross_section"": 3, ""keyword"": 26.599999999999998, ""opinion"": 0, ""recency"": 14, ""section"": 23, ""source_differentiation"": 0}",Business / Economy / Markets,Read deeply,False,Business / Economy / Markets cap
